# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
754000 -4.13992e-07 -2.18196e-07 -8.59133e-08 4.86199e-07 -5.60603e-07 -2.75027e-07
755000 -2.0098e-06 -1.26916e-06 -1.89088e-06 -2.54611e-07 1.8129e-08 -1.9384e-07
756000 3.6666e-07 -7.24827e-07 -2.01969e-07 7.15295e-07 -3.27813e-08 -2.46291e-07
757000 -6.81544e-07 1.44482e-07 5.57813e-07 -7.51117e-07 -4.73282e-07 2.13414e-08
758000 -7.30679e-07 8.77764e-07 4.75592e-07 -1.27233e-06 -5.55001e-08 9.36799e-08
759000 -1.13575e-08 1.6797e-06 6.06769e-07 -1.54746e-06 4.20951e-07 6.0475e-07
760000 1.22883e-06 1.57586e-06 1.68304e-06 -7.43949e-07 3.5294e-07 2.64132e-07
761000 -1.62413e-06 -1.04973e-06 -5.74233e-07 -4.84755e-07 -6.33034e-07 -3.21595e-07
762000 -3.68217e-06 -2.20135e-06 -2.5015e-06 -6.35561e-08 -1.06703e-06 -5.56702e-07
763000 -8.2965e-07 -1.42867e-06 -9.93661e-07 3.5688e-07 -8.52619e-08 -3.14888e-07
764000 -6.81095e-07 3.60368e-07 6.12035e-07 -8.70896e-07 -3.3083e-07 9.80201e-08
765000 6.72887e-07 9.83621e-07 9.67335e-07 -6.27519e-07 8.10988e-08 3.30924e-07
766000 -8.20269e-07 -8.39448e-07 -1.02748e-07 -6.76402e-08 -5.49355e-07 -2.24497e-07
767000 -7.53098e-07 -2.63548e-07 -8.91791e-07 6.97156e-08 2.65524e-07 -2.88955e-08
768000 -4.4383e-07 -5.41228e-08 1.22806e-06 -5.23338e-07 -9.92252e-07 -1.00121e-07
769000 -5.60403e-07 -3.92924e-07 -1.42056e-06 3.85417e-07 3.4493e-07 -2.17764e-09
770000 -8.98977e-07 -5.67183e-07 -4.04567e-07 -1.30573e-07 -2.41443e-07 -7.20642e-08
771000 2.91959e-07 4.89648e-07 6.50731e-08 -4.78533e-08 3.26028e-07 2.18077e-07
772000 -1.13296e-06 -1.1917e-06 -1.53431e-06 5.9268e-07 -3.32011e-07 -4.02563e-07
773000 -9.87815e-07 -3.6917e-07 -7.45379e-07 4.58948e-08 -2.07043e-07 -1.11534e-08
774000 -5.48348e-07 -3.98631e-07 -4.25104e-07 1.66903e-07 -1.26223e-07 -1.31475e-07
775000 -2.01718e-06 -8.83625e-07 -8.63727e-07 -5.08438e-07 -6.78185e-07 -2.49432e-07
776000 -1.58973e-06 -1.29505e-06 -6.13287e-07 -1.23258e-07 -8.44733e-07 -3.1638e-07
777000 8.50237e-08 -1.01445e-06 2.51598e-07 9.89962e-07 -8.51267e-07 -4.0131e-07
778000 -3.1953e-07 6.68113e-07 -1.86869e-07 -5.69684e-07 3.21972e-07 1.85191e-07
779000 -1.24701e-06 6.46386e-07 -2.77096e-07 -9.63671e-07 -1.90024e-07 2.37724e-07
780000 7.74025e-07 1.65735e-06 1.27716e-06 -1.29747e-06 4.34264e-07 4.17034e-07
781000 -1.24175e-06 5.68022e-08 -1.0424e-06 -1.64383e-07 -1.07624e-07 -3.65319e-08
782000 -1.72826e-06 -2.22458e-06 -1.57307e-06 7.84214e-07 -6.37061e-07 -5.06465e-07
783000 -1.83193e-06 -1.19763e-06 -1.02711e-06 -1.65566e-07 -3.61513e-07 -4.12625e-07
784000 1.01663e-06 2.0226e-06 1.63765e-06 -1.23497e-06 3.44836e-07 4.01805e-07
785000 1.46947e-06 2.39876e-06 9.19353e-07 -4.72357e-07 5.4116e-07 8.00059e-07
786000 -2.87358e-07 3.17819e-08 3.16946e-07 -1.75174e-07 -4.30196e-07 -3.09084e-08
787000 -1.15225e-06 -6.25119e-07 -8.85201e-07 1.75473e-07 -1.12043e-07 -1.65264e-07
788000 1.83471e-06 1.73611e-06 1.69089e-06 -4.93006e-07 3.00828e-07 5.5494e-07
789000 -1.31209e-06 3.94634e-07 -1.51941e-07 -1.12317e-06 -1.17591e-07 1.97836e-07
790000 -1.97065e-07 -1.08001e-07 -6.2566e-07 4.49107e-07 -1.20856e-07 -1.07881e-07
791000 -7.12032e-07 -8.82952e-07 -4.88722e-07 3.15338e-07 -4.21682e-07 -2.03293e-07
792000 -2.39547e-06 -3.03857e-08 1.21126e-07 -1.40467e-06 -8.95309e-07 -4.95576e-08
793000 -1.56017e-06 -1.05361e-06 -1.45221e-06 7.82399e-08 3.48874e-08 -1.93483e-07
794000 -1.14711e-06 -2.71143e-07 -4.2612e-07 -3.29712e-07 -4.01925e-07 -3.22073e-08
795000 3.07923e-07 1.08325e-06 4.71568e-07 -7.80876e-07 6.71003e-07 2.42961e-07
796000 -3.74284e-07 2.8706e-07 -1.42228e-07 -3.58434e-07 9.49034e-08 1.77441e-07
797000 -2.63753e-06 -8.14553e-07 -4.24649e-08 -1.31057e-06 -1.19542e-06 -6.14808e-09
798000 -2.13054e-06 -2.73736e-06 -2.61728e-06 7.75666e-07 4.11039e-08 -7.95268e-07
799000 -2.10625e-06 -1.34001e-06 -5.36072e-07 -3.68232e-07 -1.00838e-06 -4.69938e-07
