# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
1409000 71459.1 -23539.5
1410000 71511.9 -23389.6
1411000 71517.7 -23379.1
1412000 71457.1 -23387
1413000 71509.7 -23363.7
1414000 71431.1 -23433.4
1415000 71461.4 -23448.7
1416000 71473.5 -23376.5
1417000 71561.8 -23419.2
1418000 71558.2 -23330.9
1419000 71467.2 -23487.6
1420000 71426 -23539.7
1421000 71355.6 -23567.5
1422000 71344.5 -23555.9
1423000 71439.1 -23408.6
1424000 71419.5 -23465.8
1425000 71532.5 -23374.6
1426000 71553.9 -23436.4
1427000 71396.1 -23580.2
1428000 71437.9 -23568
1429000 71489.7 -23525.2
1430000 71526.9 -23503.6
1431000 71439.1 -23482.2
1432000 71412.7 -23510.5
1433000 71548.7 -23493.1
1434000 71541.3 -23471.4
1435000 71591 -23434.7
1436000 71560.6 -23438
1437000 71503.7 -23532.3
1438000 71401.7 -23582.1
1439000 71445.5 -23532.6
1440000 71441.2 -23626.8
1441000 71387.9 -23625.1
1442000 71319.9 -23618.9
1443000 71340.7 -23552.3
1444000 71336.1 -23585.5
1445000 71276.1 -23802.7
1446000 71137.6 -23881.7
1447000 71142 -23930.3
1448000 71184.9 -23901.7
1449000 71184 -23821.9
1450000 71254.2 -23767.5
1451000 71314.9 -23729.8
1452000 71259.8 -23679.4
1453000 71393.9 -23619.4
1454000 71321.6 -23720.2
1455000 71402 -23689.5
1456000 71430.7 -23605.6
1457000 71402.7 -23683.8
1458000 71227 -23841
1459000 71301 -23751.2
1460000 71290.3 -23805.9
1461000 71216.9 -23900.9
1462000 71184.3 -23873.9
1463000 71200.7 -23744.2
1464000 71140.1 -23835.6
1465000 71119.2 -23882.6
1466000 71312.3 -23830.6
1467000 71255.8 -23749
1468000 71343.4 -23702.5
1469000 71399.3 -23672.6
1470000 71286 -23730.4
1471000 71277.2 -23747.7
1472000 71336 -23805.8
1473000 71349.1 -23624.8
1474000 71330.2 -23649.2
1475000 71319.8 -23591.3
1476000 71307.7 -23696.6
1477000 71310.6 -23687.6
1478000 71333 -23676
1479000 71375.2 -23650.6
1480000 71393.2 -23648.9
1481000 71228.5 -23761
1482000 71248.6 -23831.9
1483000 71255.2 -23896.7
1484000 71259.1 -23804.5
1485000 71269.2 -23854.8
1486000 71318.8 -23770.3
1487000 71296.1 -23774
1488000 71298.9 -23723.6
1489000 71268 -23776.9
1490000 71292.6 -23699.3
1491000 71353.8 -23606.5
1492000 71353.5 -23670
1493000 71365.2 -23738.2
1494000 71410 -23720.1
1495000 71258.4 -23779.9
1496000 71228.1 -23776.6
1497000 71261.5 -23742.2
1498000 71440 -23632.1
1499000 71385.6 -23635.6
1500000 71430.7 -23709.3
1501000 71431.1 -23497.4
1502000 71410.9 -23528.9
1503000 71414.9 -23482.8
1504000 71447.3 -23526.7
1505000 71370.1 -23599
1506000 71356.6 -23630.5
1507000 71421.5 -23578.4
1508000 71379.7 -23619.8
1509000 71370.9 -23686.4
1510000 71285.2 -23820.1
1511000 71299.9 -23899.1
1512000 71207.1 -23996
1513000 71275.4 -23837.4
1514000 71169.7 -23877.3
1515000 71287.9 -23784.7
1516000 71327.5 -23689.9
1517000 71380.5 -23683.9
1518000 71427.5 -23639.6
1519000 71349.8 -23640.9
1520000 71324.5 -23727.7
1521000 71258.5 -23732.3
1522000 71367.5 -23611.7
1523000 71409.2 -23550.6
1524000 71419.9 -23611.5
1525000 71360 -23636.9
1526000 71374.9 -23656.3
1527000 71533.2 -23552.3
1528000 71407.7 -23730.9
1529000 71271.6 -23756.4
1530000 71270.3 -23799.7
